"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PTGS2",16979.4334373898,2.11965056426432,0.36035230245773,5.88830486727888,3.90176870547633e-09,3.24917520478364e-07
"FCRL2",608.317391448187,2.23412120741779,0.380268225761712,5.88244966792263,4.04238287997136e-09,3.33524530336439e-07
"SEMA4G",85.6647631922895,1.4290783117717,0.242435408812979,5.8827654583386,4.03467485317488e-09,3.33524530336439e-07
"ZNF226",590.913623143856,1.17625844263407,0.200674411345523,5.86053075081787,4.6139008336043e-09,3.78932479471795e-07
"RALY",3174.81032713367,-1.03127937992675,0.176232383893002,-5.85180049187415,4.86279738524484e-09,3.93952599029066e-07
"CD72",313.753669524002,1.66735221373134,0.284969787017312,5.84784766207222,4.97974276359663e-09,4.01609524501955e-07
"FCMR",3130.19249179487,1.583714101632,0.271194736960135,5.83979289190033,5.2265754851721e-09,4.16343572383237e-07
"KCNK7",213.867424718852,-1.88728471394242,0.323128307315922,-5.83954842009198,5.23425028798843e-09,4.16343572383237e-07
"ZNF287",98.5721013066319,1.5494961279347,0.264892805207248,5.83813909198868,5.27870816191884e-09,4.16343572383237e-07
"CDC42EP4",417.995259870734,-1.28155579093678,0.219583359216469,-5.83570306812733,5.3564214265468e-09,4.20620040442517e-07
"BET1",370.956914697586,1.12071945534125,0.192189777214947,5.82971205879901,5.55230980627567e-09,4.30182445549001e-07
"CDK11B",988.307393624817,-1.02322937306734,0.175546548738797,-5.82871441377813,5.58559972527777e-09,4.30182445549001e-07
"MAFK",268.747195257419,-1.57180180426958,0.269611928765491,-5.82833442045623,5.59833053021208e-09,4.30182445549001e-07
"ZNF623",810.645364497496,1.17672000612818,0.202133408957408,5.82072168079444,5.85940706404935e-09,4.42644827319576e-07
"PPAPDC1B",868.755645694316,1.2462415202217,0.214138351883436,5.81913345414844,5.91534918326071e-09,4.43131430029706e-07
"WDR5B",612.365475602323,1.20508995187752,0.207506928163095,5.80643477472374,6.38171167187714e-09,4.72141180881357e-07
"CD7",300.157372223308,-1.81120709996394,0.312868539612965,-5.78749490127213,7.14438553455592e-09,5.26391270002836e-07
"RELT",5434.02083855785,-1.44240386052885,0.249317422524846,-5.78555597770115,7.22728877919032e-09,5.3031712419108e-07
"CSNK1G2",1258.77952096533,-1.47503463570515,0.255143717692682,-5.78108292859066,7.42212900917166e-09,5.36329243115635e-07
"KCNIP2",87.2014576327149,1.22656833313942,0.211844342005347,5.78262998600089,7.35417029654293e-09,5.36329243115635e-07
"ZNF140",548.703442010026,1.14139854769012,0.197381804012697,5.78157109330663,7.40061936490415e-09,5.36329243115635e-07
"TCL6",129.847038383901,2.40912664284177,0.418710912259076,5.76319407739224,8.25367914125105e-09,5.91095485379835e-07
"ABCD1",492.521033457946,-1.53970498834137,0.267741798713913,-5.75010368685477,8.91887344248207e-09,6.28675236670074e-07
"PTPRK",88.4714014243847,1.88256266481896,0.3268013142082,5.74368483469795,9.26381394745391e-09,6.46807307116662e-07
"LINC00202-2",21.7938347037603,-2.16505528630985,0.373263744994956,-5.73946952641813,9.49735704170945e-09,6.59072404940954e-07
"FCRL5",737.554218142331,2.16645909914171,0.37805525670642,5.7375239111383,9.60707197550967e-09,6.6411203339585e-07
"TNK2",3018.80314663681,-1.58625830520161,0.276747859694039,-5.73205918953857,9.92186340059891e-09,6.80617020399705e-07
"GUK1",792.870645322257,-1.27798189410001,0.223582927985816,-5.71564900889199,1.09286106692803e-08,7.4397659856576e-07
"ZNF681",222.67536367797,1.72798372109255,0.30219185189763,5.71250799939873,1.11323181735587e-08,7.54973577952254e-07
